상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220813230286,퀸스타운,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100105370009,1,대지,537,9.0,대전광역시 유성구 봉명동 537-9,302004301009.0,대전광역시 유성구 계룡로105번길,74.0,,3020011100105370009013448,,대전광역시 유성구 계룡로105번길 74,305301,34186,,5,,127.344029136544,36.3565860949442
MA010120220813133693,주현고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,30,대전광역시,30170,서구,30170586,월평1동,3017011300,월평동,3017011300105310000,1,대지,531,,대전광역시 서구 월평동 531,301704298537.0,대전광역시 서구 월평중로24번길,10.0,,3017011300105310000020365,,대전광역시 서구 월평중로24번길 10,302852,35223,,,,127.364442167414,36.3565071488057
MA010120220813280892,맨하탄모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100106330003,1,대지,633,3.0,대전광역시 유성구 봉명동 633-3,302004301287.0,대전광역시 유성구 온천북로33번길,7.0,14.0,3020011100106330003013092,,대전광역시 유성구 온천북로33번길 7-14,305301,34185,,,,127.346027239703,36.357480268032
MA010120220813273182,송가네황토펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,30,대전광역시,30170,서구,30170600,기성동,3017012000,장안동,3017012000103340000,1,대지,334,,대전광역시 서구 장안동 334,301703166047.0,대전광역시 서구 장안로,558.0,32.0,3017012000103340000000001,,대전광역시 서구 장안로 558-32,302040,35428,,,,127.335148365729,36.2135887797119
MA010120220813354051,동화장여관,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140605,문창동,3014010600,문창동,3014010600100210006,1,대지,21,6.0,대전광역시 중구 문창동 21-6,301404295550.0,대전광역시 중구 인창로28번길,3.0,,3014010600100210006014790,,대전광역시 중구 인창로28번길 3,301809,34930,,,,127.432922444538,36.3226131573888
MA010120220813337940,대양슬맆,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,I55101,호텔업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500101410001,1,대지,141,1.0,대전광역시 중구 대흥동 141-1,301404295157.0,대전광역시 중구 대종로460번길,29.0,,3014010500101410002025558,,대전광역시 중구 대종로460번길 29,301802,34925,,,,127.428974293944,36.3264246963543
MA010120220813339090,이담모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100780011,1,대지,78,11.0,대전광역시 동구 용전동 78-11,301104292573.0,대전광역시 동구 한밭대로1314번길,9.0,1.0,3011011500100780011003727,,대전광역시 동구 한밭대로1314번길 9-1,300824,34550,,,,127.439733026263,36.3513772376295
MA010120220813348651,큐피트모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100105410006,1,대지,541,6.0,대전광역시 유성구 봉명동 541-6,302004301013.0,대전광역시 유성구 계룡로155번길,32.0,,3020011100105410006014251,큐피트모텔,대전광역시 유성구 계룡로155번길 32,305301,34187,,,,127.348122277605,36.3534361074304
MA010120220813286941,세영모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230550,신탄진동,3023012600,신탄진동,3023012600101410021,1,대지,141,21.0,대전광역시 대덕구 신탄진동 141-21,302304304356.0,대전광역시 대덕구 신탄진로804번길,7.0,,3023012600101410021021990,,대전광역시 대덕구 신탄진로804번길 7,306815,34311,,,,127.430305854435,36.4493429151417
MA010120220813254921,아우디모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230550,신탄진동,3023012600,신탄진동,3023012600101390020,1,대지,139,20.0,대전광역시 대덕구 신탄진동 139-20,302304304357.0,대전광역시 대덕구 신탄진로810번길,46.0,,3023012600101390020022256,,대전광역시 대덕구 신탄진로810번길 46,306815,34310,,,,127.431683558248,36.4501065204284
