,지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,정류장종류,정류장명,정류장유형,대장초기화여부,위도,경도
797,정류장,2209000658,대전광역시 중구 ,36710086,19397,STT0897000,버스공용,상당,유개형(도시형),1,36.2946028,127.389273
798,정류장,2209000659,대전광역시 중구 ,36710086,18912,STT0898000,시내버스,한국효문화진흥원,유개형(도시형),1,36.28502578,127.3819774
799,정류장,2209000660,대전광역시 중구 ,36710086,16640,STT0899000,버스공용,안영생활체육단지,유개형(도시형),1,36.28556831,127.3770398
800,정류장,2209000661,대전광역시 중구 ,36710086,16705,STT0900000,버스공용,안영생활체육단지,유개형(도시형),1,36.28522933,127.3764241
801,정류장,2209000662,대전광역시 중구 ,36710086,16682,STT0901000,버스공용,한빛고교,유개형(도시형),1,36.28322933,127.376167
802,정류장,2209000663,대전광역시 중구 ,36710086,16699,STT0902000,버스공용,한빛고교,유개형(도시형),1,36.28250472,127.3756812
803,정류장,2209000664,대전광역시 중구 ,36710077,14594,STT0903000,시내버스,문화동하우스토리,유개형(도시형),1,36.31986928,127.4158953
804,정류장,2209000665,대전광역시 중구 ,36710077,22616,STT0904000,시내버스,대전광역시노인복지관,유개형(도시형),1,36.3197716,127.4201198
805,정류장,2209000666,대전광역시 중구 ,36710077,14591,STT0905000,시내버스,충대병원네거리,유개형(도시형),1,36.31889734,127.4166773
806,정류장,2209000670,대전광역시 중구 ,36710077,14388,STT0909000,시내버스,테미삼거리,유개형(도시형),1,36.31837172,127.41868
807,정류장,2209000671,대전광역시 중구 ,36710078,22136,STT0910000,시내버스,보문오거리,유개형(도시형),1,36.31831544,127.4253036
808,정류장,2209000672,대전광역시 중구 ,36710078,14299,STT0911000,시내버스,한화생명이글스파크,표지설치,1,36.31826466,127.4284452
809,정류장,2209000673,대전광역시 중구 ,36710078,22133,STT0912000,시내버스,보문오거리,유개형(도시형),1,36.31819847,127.4255818
810,정류장,2209000674,대전광역시 중구 ,36710077,14559,STT0913000,시내버스,테미삼거리,유개형(도시형),1,36.31817087,127.4191864
811,정류장,2209000675,대전광역시 중구 ,36710077,14469,STT0914000,시내버스,테미고개,유개형(도시형),1,36.31801756,127.4237925
812,정류장,2209000676,대전광역시 중구 ,36710078,20405,STT0915000,시내버스,한밭종합운동장,유개형(도시형),1,36.31713015,127.4326797
813,정류장,2209000678,대전광역시 중구 ,36710078,14476,STT0917000,시내버스,보문오거리,유개형(도시형),1,36.31702252,127.4253045
814,정류장,2209000679,대전광역시 중구 ,36710078,20405,STT0918000,시내버스,한밭종합운동장,유개형(도시형),1,36.31684725,127.4325835
815,정류장,2209000682,대전광역시 중구 ,36710077,22725,STT0921000,시내버스,대자연아파트,유개형(도시형),1,36.31530272,127.417118
817,정류장,2209000684,대전광역시 중구 ,36710078,23659,STT0923000,시내버스,남대전고등학교,유개형(도시형),1,36.3142514,127.4282054
818,정류장,2209000685,대전광역시 중구 ,36710078,23902,STT0924000,버스공용,부사오거리,유개형(도시형),1,36.31378285,127.4346543
819,정류장,2209000686,대전광역시 중구 ,36710078,23825,STT0925000,시내버스,남대전고등학교,유개형(도시형),1,36.31378244,127.4283038
820,정류장,2209000687,대전광역시 중구 ,36710078,23891,STT0926000,시내버스,청란여자고등학교,유개형(도시형),1,36.31358958,127.4309388
821,정류장,2209000688,대전광역시 중구 ,36710078,23894,STT0927000,시내버스,청란여자고등학교,유개형(도시형),1,36.31340914,127.4311434
822,정류장,2209000689,대전광역시 중구 ,36710078,23782,STT0928000,시내버스,부사오거리,유개형(도시형),1,36.31334859,127.4356644
823,정류장,2209000690,대전광역시 중구 ,36710078,23905,STT0929000,시내버스,부사오거리,유개형(도시형),1,36.31333022,127.4337774
824,정류장,2209000691,대전광역시 중구 ,36710077,22522,STT0930000,시내버스,대전국제통상고,유개형(도시형),1,36.31327925,127.40844
828,정류장,2209000695,대전광역시 중구 ,36710078,23776,STT0934000,시내버스,남대전등기소,유개형(도시형),1,36.31121599,127.4390796
829,정류장,2209000697,대전광역시 중구 ,36710078,23776,STT0936000,시내버스,남대전등기소,유개형(도시형),1,36.31078616,127.4393384
830,정류장,2209000698,대전광역시 중구 ,36710077,22156,STT0937000,시내버스,한밭도서관후문,유개형(도시형),1,36.3103845,127.4114319
831,정류장,2209000699,대전광역시 중구 ,36710077,22364,STT0938000,시내버스,한밭도서관,유개형(도시형),1,36.30993103,127.4082497
832,정류장,2209000700,대전광역시 중구 ,36710078,24170,STT0939000,시내버스,석교동행정복지센터,유개형(도시형),1,36.30942146,127.4420909
833,정류장,2209000701,대전광역시 중구 ,36710078,14841,STT0940000,시내버스,석교동행정복지센터,유개형(도시형),1,36.30900598,127.4435151
834,정류장,2209000702,대전광역시 중구 ,36710078,14852,STT0941000,시내버스,석교치안센터,유개형(도시형),1,36.30771239,127.4455562
836,정류장,2209000704,대전광역시 중구 ,36710077,22361,STT0943000,시내버스,문화2동,유개형(도시형),1,36.30717396,127.4063173
837,정류장,2209000705,대전광역시 중구 ,36710077,18341,STT0944000,시내버스,문화2동,유개형(도시형),1,36.3065757,127.4058305
838,정류장,2209000706,대전광역시 중구 ,36710077,18923,STT0945000,시내버스,대문초등학교입구,유개형(도시형),1,36.30593766,127.4007574
839,정류장,2209000707,대전광역시 중구 ,36710077,18920,STT0946000,시내버스,대문초등학교입구,유개형(도시형),1,36.30579392,127.4013491
840,정류장,2209000708,대전광역시 중구 ,36710079,14193,STT0947000,시내버스,은혜아파트,유개형(도시형),1,36.30142565,127.4521644
841,정류장,2209000709,대전광역시 중구 ,36710079,14106,STT0948000,시내버스,은혜아파트,유개형(도시형),1,36.30117604,127.4527058
851,정류장,2209000720,대전광역시 중구 ,36710077,20170,STT0959000,시내버스,대고오거리,유개형(도시형),1,36.32373512,127.4225827
852,정류장,2209000722,대전광역시 중구 ,36710077,20167,STT0961000,시내버스,대고오거리,유개형(도시형),1,36.32352672,127.4228521
853,정류장,2209000723,대전광역시 중구 ,36710077,22673,STT0962000,시내버스,교원연합회,유개형(도시형),1,36.323458,127.4210985
854,정류장,2209000725,대전광역시 중구 ,36710077,22631,STT0964000,시내버스,성모오거리,유개형(도시형),1,36.32305454,127.4222113
855,정류장,2209000726,대전광역시 중구 ,36710077,22610,STT0965000,시내버스,대전고등학교,유개형(도시형),1,36.32292676,127.42427
857,정류장,2209000729,대전광역시 중구 ,36710078,23915,STT0968000,시내버스,오토바이거리,유개형(도시형),1,36.32151094,127.430149
859,정류장,2209000731,대전광역시 중구 ,36710077,20349,STT0970000,시내버스,대전중학교,유개형(도시형),1,36.32016179,127.4242145
860,정류장,2209000732,대전광역시 중구 ,36710077,20349,STT0971000,시내버스,대전중학교,유개형(도시형),1,36.3200594,127.4244542
869,정류장,2209000741,대전광역시 중구 ,36710086,16517,STT0980000,버스공용,산성동,유개형(도시형),1,36.29786911,127.3846513
870,정류장,2209000742,대전광역시 중구 ,36710086,16517,STT0981000,버스공용,산성동,유개형(도시형),1,36.29780228,127.3849172
966,정류장,101352,대전광역시 중구 ,36710077,22548,STT1096000,시내버스,용두동주민센터,표지설치,1,36.3249997,127.4107838
967,정류장,101355,대전광역시 중구 ,36710077,14502,STT1097000,시내버스,서대전네거리,유개형(도시형),1,36.32416304,127.4106814
968,정류장,101360,대전광역시 중구 ,36710077,22655,STT1098000,버스공용,성모병원,유개형(도시형),1,36.32339458,127.4185091
969,정류장,101364,대전광역시 중구 ,36710077,22465,STT1101000,버스공용,대전충남지방병무청,유개형(도시형),1,36.32292676,127.4145572
970,정류장,101368,대전광역시 중구 ,36710077,22465,STT1102000,버스공용,대전충남병무청,유개형(도시형),1,36.32271319,127.4147111
