,지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,정류장종류,정류장명,정류장유형,대장초기화여부,위도,경도
1305,정류장,101358,대전광역시 중구 ,36710077,22601,STT1472000,버스공용,성모병원,유개형(도시형),1,36.32384765,127.4191901
1348,정류장,2209001221,대전광역시 중구 ,36710067,27519,STT1518000,시내버스,중촌네거리,유개형(도시형),1,36.33589867,127.4147761
1349,정류장,2209001222,대전광역시 중구 ,36710067,27519,STT1519000,시내버스,평촌네거리,유개형(도시형),1,36.33588342,127.4152822
1350,정류장,2209001223,대전광역시 중구 ,36710067,28212,STT1520000,시내버스,선화동천주교회,유개형(도시형),1,36.33563597,127.41735
1353,정류장,2209001226,대전광역시 중구 ,36710067,28215,STT1523000,시내버스,선화동천주교회,유개형(도시형),1,36.33515627,127.4176451
1354,정류장,2209001228,대전광역시 중구 ,36710067,28165,STT1525000,시내버스,대종로네거리,유개형(도시형),1,36.33443386,127.4211288
1355,정류장,2209001229,대전광역시 중구 ,36710067,28165,STT1526000,시내버스,대종로사거리,유개형(도시형),1,36.33413348,127.4209379
1359,정류장,2209001233,대전광역시 중구 ,36710067,28469,STT1530000,시내버스,은행.선화동주민센터,유개형(도시형),1,36.33307856,127.4156184
1361,정류장,2209001235,대전광역시 중구 ,36710067,21486,STT1532000,시내버스,대전여상,유개형(도시형),1,36.33285181,127.4208517
1363,정류장,2209001237,대전광역시 중구 ,36710067,28475,STT1534000,시내버스,은행.선화동주민센터,유개형(도시형),1,36.33253446,127.4166757
1364,정류장,2209001238,대전광역시 중구 ,36710067,21485,STT1535000,시내버스,대전여상,표지설치,1,36.33232112,127.4211804
1368,정류장,2209001246,대전광역시 중구 ,36710067,21479,STT1543000,시내버스,대전세무서,유개형(도시형),1,36.33084748,127.4193073
1370,정류장,2209001249,대전광역시 중구 ,36710067,21479,STT1546000,시내버스,대전세무서,유개형(도시형),1,36.33069748,127.4196107
1375,정류장,2209001255,대전광역시 중구 ,36710067,21483,STT1552000,시내버스,중앙로역,유개형(도시형),1,36.3301483,127.42387
1382,정류장,2209001264,대전광역시 중구 ,36710068,21513,STT1561000,시내버스,중앙로네거리,유개형(도시형),1,36.32905236,127.4265997
1383,정류장,2209001265,대전광역시 중구 ,36710068,21513,STT1562000,버스공용,중앙로네거리,표지설치,1,36.32891057,127.4267883
1384,정류장,2209001266,대전광역시 중구 ,36710067,28540,STT1563000,시내버스,충남지방경찰청,유개형(도시형),1,36.32878785,127.4206676
1385,정류장,2209001267,대전광역시 중구 ,36710067,28540,STT1564000,시내버스,충남지방경찰청,유개형(도시형),1,36.32868834,127.4205164
1388,정류장,2209001272,대전광역시 중구 ,36710067,28712,STT1569000,시내버스,중앙로역6번출구,유개형(도시형),1,36.32837908,127.4247866
1389,정류장,2209001273,대전광역시 중구 ,36710067,28712,STT1570000,버스공용,중앙로역6번출구,유개형(도시형),1,36.3282283,127.4243821
1391,정류장,2209001275,대전광역시 중구 ,36710067,28712,STT1572000,버스공용,중앙로역4번출구,유개형(도시형),1,36.32815054,127.4247338
1393,정류장,2209001277,대전광역시 중구 ,36710067,21464,STT1574000,버스공용,삼성생명,유개형(도시형),1,36.3280133,127.4237962
1394,정류장,2209001278,대전광역시 중구 ,36710067,21464,STT1575000,시내버스,중앙로네거리,유개형(도시형),1,36.32792511,127.4241315
1396,정류장,2209001281,대전광역시 중구 ,36710067,21505,STT1578000,시내버스,삼성생명,유개형(도시형),1,36.32764365,127.4227534
1397,정류장,2209001282,대전광역시 중구 ,36710067,21505,STT1579000,시내버스,대전중부경찰서,유개형(도시형),1,36.32752558,127.4230542
1398,정류장,2209001283,대전광역시 중구 ,36710068,21523,STT1580000,버스공용,대흥동성당,유개형(도시형),1,36.32692782,127.4267547
1400,정류장,2209001285,대전광역시 중구 ,36710068,24802,STT1582000,시내버스,대흥동성당,유개형(도시형),1,36.32609789,127.4274927
1402,정류장,2209001288,대전광역시 중구 ,36710067,28337,STT1585000,버스공용,중구청,유개형(도시형),1,36.32580468,127.4210518
1403,정류장,2209001289,대전광역시 중구 ,36710067,28039,STT1586000,시내버스,중구청,유개형(도시형),1,36.32549025,127.4222533
1426,정류장,2209001315,대전광역시 중구 ,36710067,21988,STT1612000,시내버스,호수돈여고,유개형(도시형),1,36.32745942,127.4148154
